location_id,city_name,state_name,state_code,country,region,mesoregion,latitude,longitude,altitude_m,population_class
lajeado_grande,Lajeado Grande,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.8583,-52.5667,0,small
laurentino,Laurentino,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.2193,-49.7323,0,small
lauro_muller,Lauro Müller,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-28.3942,-49.3975,0,small
lebon_regis,Lebon Régis,Santa Catarina,SC,Brasil,Sul,Serrana,-26.928,-50.6921,0,small
leoberto_leal,Leoberto Leal,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.5071,-49.2872,0,small
lindoia_do_sul,Lindóia do Sul,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.052,-52.0832,0,small
lontras,Lontras,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.168,-49.5425,0,small
luiz_alves,Luiz Alves,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.7119,-48.9127,0,small
luzerna,Luzerna,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.1294,-51.4686,0,small
macieira,Macieira,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.8542,-51.3764,0,small
mafra,Mafra,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.1151,-49.8036,0,small
major_gercino,Major Gercino,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.4192,-48.9488,0,small
major_vieira,Major Vieira,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.3655,-50.3273,0,small
maracaja,Maracajá,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.8475,-49.4539,0,small
maravilha,Maravilha,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.7624,-53.1747,0,small
marema,Marema,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.8024,-52.6264,0,small
massaranduba,Massaranduba,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.6109,-49.0054,0,small
